user_loc,fr_loc,scaled_sci,sci_ranked,migrants_from_fr,gdp_diff,population_diff,population_diff_ranked,literacy_dif,internet_diff,hci_diff,distance,trade,trade_ranked
NO,AU,10746,6158,2343,24338.5461,20016411,12881,N/A,9.81255245,0.012299121,15948.57885,265.713,840
NO,AW,3599,11078,N/A,N/A,5241582,22119,N/A,0.8123987,N/A,8293.349576,N/A,N/A
NO,AZ,1819,15844,550,76994.62386,4675422,22907,N/A,17.3576013,0.139222681,3453.091819,0.37,6307
NO,BA,27269,3370,14370,75662.28458,2046896,26609,N/A,31.46558079,0.149269819,1857.979625,N/A,N/A
NO,BB,3502,11218,23,63989.27211,5060871,22343,N/A,14.59682291,N/A,7660.211961,N/A,N/A
NO,BD,444,28834,1076,80036.11518,157698265,2095,N/A,N/A,0.309981555,7171.95066,N/A,N/A
NO,BE,9869,6456,1800,34243.14231,6136159,21197,N/A,8.67792048,0.005775094,1086.753987,1154.495,286
NO,BF,343,30694,34,80914.30478,14973482,15015,N/A,80.48139439,0.390250861,5389.184095,N/A,N/A
NO,BG,14960,5066,6180,72310.90696,1627865,27397,N/A,32.94749992,0.098257601,2099.06492,18.714,2641
NO,BH,2792,12690,33,57743.40889,3706724,24225,N/A,0.47946555,0.104636073,4820.457773,N/A,N/A
NO,BI,5714,8666,1108,81462.71353,6182684,21129,N/A,93.69685277,0.378960043,7221.223058,N/A,N/A
NO,BJ,469,28338,29,80493.63611,6453255,20817,N/A,82.23858897,0.371584505,5991.366428,N/A,N/A
NO,BN,2480,13510,35,50106.13678,4914611,22511,N/A,1.49090966,N/A,10314.97129,66.4,1642
NO,BO,703,24518,571,78185.87542,6165204,21167,N/A,52.52532523,N/A,10988.50657,N/A,N/A
NO,BR,941,21694,5573,72733.23132,205701631,1367,N/A,28.88631678,0.222811103,10631.03952,67.443,1636
NO,BS,3055,12082,21,49516.59398,4958414,22453,N/A,11.3576013,N/A,7510.269427,N/A,N/A
NO,BT,1519,17380,396,78491.23444,4584804,23049,N/A,N/A,N/A,6782.899066,N/A,N/A
NO,BW,1742,16208,127,73454.86421,3044199,25027,N/A,54.94380666,0.356018334,9515.88876,N/A,N/A
NO,BY,4044,10416,1072,75404.39032,4118960,23701,N/A,21.92115589,N/A,1215.556791,2.03,4708
NO,BZ,1593,16956,N/A,76849.73141,4957543,22457,N/A,49.2749755,N/A,8875.980192,N/A,N/A
NO,CA,7447,7536,3264,35421.2942,32241366,9713,N/A,3.65622939,0.031555116,5936.025507,277.779,814
NO,CD,1824,15812,264,81177.40115,81442671,4329,N/A,87.73769638,0.404006094,N/A,N/A,N/A
NO,CF,1342,18428,N/A,81258.51196,602711,29327,N/A,92.01834636,N/A,6211.300473,N/A,N/A
NO,CG,1043,20758,2334,79510.61109,32612,31007,N/A,87.7076013,0.350699305,7143.979093,N/A,N/A
NO,CH,23792,3686,2366,1083.64259,3226936,24781,N/A,6.67145363,0.00242722,1458.011906,384.376,658
NO,CI,630,25590,352,79431.85262,20368648,12769,N/A,52.51768045,0.398566484,6056.904035,N/A,N/A
NO,CL,2397,13742,7140,65809.67133,13604142,15571,N/A,14.03011437,0.103269696,12735.40303,35.4,2128
NO,CM,1845,15710,738,80199.9743,20528484,12719,N/A,73.15462933,0.375214159,6234.673054,N/A,N/A
NO,CO,877,22364,6131,75015.88025,44991547,7431,N/A,34.09772098,0.169880986,9328.741932,N/A,N/A
NO,CR,2185,14418,298,69622.33115,300335,30137,N/A,24.77593668,0.16527605,9314.560229,N/A,N/A
NO,CV,9928,6428,421,78117.13808,4797961,22735,N/A,39.19545495,N/A,5721.66983,N/A,N/A
NO,CW,3663,10964,N/A,62160.57292,5190358,22189,N/A,28.23038505,N/A,N/A,N/A,N/A
NO,CY,12010,5756,206,53044.75885,4149321,23651,N/A,15.61441233,0.013917804,3199.210651,72.934,1584
NO,CZ,6385,8176,2313,58687.51644,5321813,22009,N/A,17.63842845,0.004018128,1116.10912,25.363,2393
NO,DE,13605,5370,30384,34095.46213,77784903,4551,N/A,11.9634476,0.004762053,837.2407452,1645.35,220
NO,DJ,9927,6430,57,78592.57635,4374336,23365,N/A,40.67619205,N/A,5998.305753,N/A,N/A
NO,DK,123544,1246,27205,20343.77256,470657,29677,N/A,0.74176086,0.002296984,484.8601354,3274.981,119
NO,DO,1943,15274,856,73683.83513,5391062,21933,N/A,28.78635597,0.261654556,7710.768542,N/A,N/A
NO,DZ,419,29284,1308,77619.75051,37705158,8645,N/A,48.66654615,0.236540913,2625.660501,N/A,N/A
NO,EC,740,24090,815,75438.53017,12025766,16161,N/A,N/A,0.172315299,9988.192306,N/A,N/A
NO,EE,40279,2564,5488,58475.99799,4021306,23833,N/A,8.25514443,0.005590439,786.6788822,21.319,2543
NO,EG,823,22958,1161,79185.33332,95040177,3627,N/A,51.40739705,0.276022494,3657.25986,N/A,N/A
NO,ES,8944,6828,6617,51396.78644,41728885,8103,N/A,11.7553556,0.032378435,2388.542704,1804.389,200
NO,ET,15400,4974,8337,80962.94176,106730834,3089,N/A,77.73954985,0.384434253,6121.403995,N/A,N/A
NO,FI,34325,2872,7349,31713.17451,172418,30543,N/A,8.88867223,0.045949161,790.4948718,201.058,980
NO,FJ,1115,20184,43,75467.49761,4457943,23243,N/A,46.39122829,N/A,15264.82292,N/A,N/A
NO,FR,4672,9688,6769,40103.37483,61711991,5467,N/A,15.85514158,0.012574553,1341.632386,1221.913,273
NO,GA,647,25342,N/A,73777.83775,3175317,24845,N/A,46.03748115,0.312146962,6620.808128,N/A,N/A
NO,GB,15255,4998,20827,38691.23775,61486509,5479,N/A,5.93305081,0.008447409,1156.020651,4928.127,79
NO,GD,5876,8528,N/A,71248.55841,5235893,22135,N/A,37.28586594,0.227339923,7875.564795,N/A,N/A
NO,GE,1964,15194,338,77011.67779,1627514,27399,N/A,36.6520967,0.159477115,3075.064335,N/A,N/A
