user_loc	fr_loc	scaled_sci
AM	MK	2501
AM	ML	373
AM	MM	67
AM	MN	800
AM	MO	377
AM	MQ	210
AM	MR	226
AM	MT	5451
AM	MU	500
AM	MV	1685
AM	MW	192
AM	MX	215
AM	MY	212
AM	MZ	296
AM	NC	241
AM	NE	349
AM	NG	522
AM	NI	194
AM	NL	6312
AM	NO	1582
AM	NP	206
AM	NZ	480
AM	OM	1108
AM	PA	254
AM	PE	239
AM	PF	499
AM	PG	234
AM	PH	359
AM	PK	487
AM	PL	3011
AM	PR	320
AM	PS	602
AM	PT	1297
AM	PY	224
AM	QA	1957
AM	RE	184
AM	RO	1397
AM	RS	2195
AM	RW	497
AM	SA	519
AM	SB	196
AM	SC	1336
AM	SE	6326
AM	SG	651
AM	SI	1421
AM	SK	1428
AM	SL	994
AM	SN	418
AM	SR	357
AM	ST	202
AM	SV	143
AM	SZ	316
AM	TD	302
AM	TG	698
AM	TH	160
AM	TJ	15331
AM	TL	202
AM	TN	929
AM	TO	217
AM	TR	1836
AM	TT	357
AM	TW	190
AM	TZ	368
AM	UA	17839
AM	UG	549
AM	US	4049
AM	UY	1163
AM	UZ	10656
AM	VC	448
AM	VN	102
AM	VU	238
AM	WS	128
AM	XK	1442
AM	YT	110
AM	ZA	159
AM	ZM	325
AM	ZW	257
AM	NA	1010
AO	AE	2954
AO	AG	5755
AO	AL	1052
AO	AM	387
AO	AO	18876926
AO	AR	1624
AO	AT	814
AO	AU	371
AO	AW	1420
AO	AZ	1210
AO	BA	542
AO	BB	2709
AO	BD	2491
AO	BE	6243
AO	BF	22042
AO	BG	930
AO	BH	2189
AO	BI	21918
AO	BJ	29125
AO	BN	938
AO	BO	2035
AO	BR	16305
AO	BS	3781
AO	BT	578
AO	BW	40426
AO	BY	1244
AO	BZ	2642
AO	CA	1711
AO	CD	256834
AO	CF	22390
AO	CG	180942
AO	CH	5192
AO	CI	29854
AO	CL	1207
AO	CM	24096
AO	CO	2561
AO	CR	1799
AO	CV	336104
AO	CW	2418
AO	CY	3010
AO	CZ	449
AO	DE	1693
AO	DJ	5749
AO	DK	537
AO	DO	8664
AO	DZ	2507
AO	EC	1951
AO	EE	284
AO	EG	1560
AO	ES	1734
AO	ET	4123
AO	FI	941
AO	FJ	2069
AO	FR	7318
AO	GA	46749
AO	GB	3418
AO	GD	7157
AO	GE	676
AO	GF	10183
AO	GH	19061
AO	GM	42912
AO	GN	111270
AO	GP	4038
AO	GQ	46690
AO	GR	5041
AO	GT	1515
AO	GU	574
AO	GW	303047
AO	GY	7049
AO	HK	295
AO	HN	2883
AO	HR	494
AO	HT	20139
AO	HU	708
AO	ID	1309
AO	IE	1866
AO	IM	251
AO	IN	901
AO	IS	1149
AO	IT	1364
AO	JE	2801
AO	JM	10863
AO	JO	1305
AO	JP	247
AO	KE	28189
AO	KG	420
AO	KH	588
AO	KI	3940
AO	KM	8780
AO	KR	285
AO	KW	1677
AO	KY	3270
AO	KZ	456
AO	LA	375
AO	LB	5723
AO	LC	5458
AO	LK	1757
AO	LR	36471
AO	LS	23842
AO	LT	353
AO	LU	12558
AO	LV	473
AO	LY	1707
AO	MA	3354
AO	MD	460
AO	ME	870
AO	MG	23247
AO	MK	815
AO	ML	34347
AO	MM	288
AO	MN	426
AO	MO	1449
AO	MQ	2484
AO	MR	64936
AO	MT	1562
AO	MU	3046
AO	MV	2021
AO	MW	15574
AO	MX	1471
AO	MY	694
AO	MZ	762302
AO	NC	630
AO	NE	14612
AO	NG	8494
AO	NI	3408
AO	NL	2407
AO	NO	1123
AO	NP	625
AO	NZ	338
AO	OM	2557
AO	PA	2854
AO	PE	1555
AO	PF	413
AO	PG	21158
AO	PH	1824
AO	PK	2654
AO	PL	491
AO	PR	1025
AO	PS	744
AO	PT	129553
AO	PY	4693
AO	QA	2738
AO	RE	1961
AO	RO	1165
AO	RS	836
AO	RW	16591
AO	SA	2237
AO	SB	5941
AO	SC	4564
AO	SE	1296
AO	SG	517
AO	SI	470
AO	SK	458
AO	SL	48499
AO	SN	24608
AO	SR	7813
AO	ST	1197357
AO	SV	1526
AO	SZ	35309
AO	TD	15819
AO	TG	28167
AO	TH	235
AO	TJ	1204
AO	TL	5585
AO	TN	2811
AO	TO	1540
AO	TR	1600
AO	TT	3619
AO	TW	171
AO	TZ	31102
AO	UA	837
AO	UG	23835
AO	US	1190
AO	UY	1868
AO	UZ	621
AO	VC	5464
AO	VN	875
AO	VU	3161
AO	WS	1236
AO	XK	956
AO	YT	8882
AO	ZA	30076
AO	ZM	39301
AO	ZW	16013
AO	NA	712416
AR	AE	887
AR	AG	1161
AR	AL	764
AR	AM	729
AR	AO	1624
AR	AR	2077199
AR	AT	1504
AR	AU	2174
AR	AW	7495
AR	AZ	332
AR	BA	580
AR	BB	719
AR	BD	343
AR	BE	1435
AR	BF	599
AR	BG	784
AR	BH	609
AR	BI	419
AR	BJ	1505
AR	BN	386
AR	BO	44998
AR	BR	4129
AR	BS	1165
AR	BT	304
AR	BW	348
AR	BY	865
AR	BZ	2525
AR	CA	1158
AR	CD	525
AR	CF	562
AR	CG	832
AR	CH	3778
AR	CI	811
AR	CL	22391
AR	CM	703
AR	CO	10660
AR	CR	9078
AR	CV	1342
AR	CW	3962
AR	CY	1848
AR	CZ	638
AR	DE	1648
AR	DJ	342
AR	DK	2707
AR	DO	10521
AR	DZ	1370
AR	EC	9784
AR	EE	611
AR	EG	731
AR	ES	16968
AR	ET	238
AR	FI	692
AR	FJ	358
AR	FR	1609
AR	GA	670
AR	GB	1077
AR	GD	986
AR	GE	520
AR	GF	1887
AR	GH	996
AR	GM	2763
AR	GN	669
AR	GP	1190
AR	GQ	3883
AR	GR	1330
AR	GT	6145
AR	GU	365
AR	GW	1127
AR	GY	1577
AR	HK	430
AR	HN	7353
AR	HR	1311
AR	HT	3226
AR	HU	699
AR	ID	373
AR	IE	2165
AR	IM	875
AR	IN	193
AR	IS	1589
AR	IT	4634
AR	JE	824
AR	JM	1127
AR	JO	606
AR	JP	486
AR	KE	537
AR	KG	179
AR	KH	183
AR	KI	750
AR	KM	252
AR	KR	393
AR	KW	557
AR	KY	2684
AR	KZ	208
AR	LA	144
AR	LB	1044
AR	LC	676
AR	LK	493
AR	LR	1045
AR	LS	260
AR	LT	584
AR	LU	2350
AR	LV	648
AR	LY	392
AR	MA	2735
AR	MD	382
AR	ME	1495
AR	MG	701
AR	MK	831
AR	ML	666
AR	MM	109
AR	MN	261
AR	MO	405
AR	MQ	856
AR	MR	550
AR	MT	2774
AR	MU	627
AR	MV	656
AR	MW	243
AR	MX	6720
AR	MY	311
AR	MZ	928
AR	NC	529
AR	NE	512
AR	NG	603
AR	NI	8319
AR	NL	1436
AR	NO	968
AR	NP	211
AR	NZ	3804
AR	OM	487
AR	PA	8440
AR	PE	14590
AR	PF	684
AR	PG	339
AR	PH	687
AR	PK	666
AR	PL	461
AR	PR	5097
AR	PS	494
AR	PT	2974
AR	PY	239304
AR	QA	711
AR	RE	431
AR	RO	824
AR	RS	1153
AR	RW	404
AR	SA	503
AR	SB	387
AR	SC	732
AR	SE	1158
AR	SG	483
AR	SI	1464
